Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
ENSOCUG00000001679	13	123686158	123691668
ENSOCUG00000012952	13	24452556	24457259
ENSOCUG00000013942	7	115666936	115674066
ENSOCUG00000038168	7	74556007	74556141
ENSOCUG00000024788	14	46854540	46855538
ENSOCUG00000017198	1	149779000	149875495
ENSOCUG00000028353	13	99674781	99674883
ENSOCUG00000021901	14	46887876	46888470
ENSOCUG00000033715	13	99877544	99878838
ENSOCUG00000018676	13	40891115	40891276
ENSOCUG00000029231	3	53900261	54008316
ENSOCUG00000017299	2	115327696	115351825
ENSOCUG00000007053	12	20836346	20838678
ENSOCUG00000027315	13	42169409	42169819
ENSOCUG00000035073	13	51179325	51179576
ENSOCUG00000002248	7	58791627	58821766
ENSOCUG00000030557	2	137468200	137480410
ENSOCUG00000010766	4	26671262	26687129
ENSOCUG00000030036	3	9847670	9849288
ENSOCUG00000030916	2	137601541	137609368
ENSOCUG00000008993	12	22307907	22576540
ENSOCUG00000012592	2	53701695	53759161
ENSOCUG00000034142	2	40605039	40605470
ENSOCUG00000008964	7	115675741	115679825
ENSOCUG00000005783	3	44683151	44689533
ENSOCUG00000036850	4	8497590	8580150
ENSOCUG00000027462	13	40903577	40908353
ENSOCUG00000025561	1	146109634	146110584
ENSOCUG00000014390	8	26906392	26940695
ENSOCUG00000030583	13	77922945	77923434
ENSOCUG00000030151	13	24539692	24539833
ENSOCUG00000016125	9	53442940	54316986
ENSOCUG00000017295	2	115358712	115383737
ENSOCUG00000029230	1	192704836	192726867
ENSOCUG00000012254	3	63433551	63436115
ENSOCUG00000028158	12	20368104	20370887
ENSOCUG00000009065	7	75724182	75773197
ENSOCUG00000016776	13	51249967	51265195
ENSOCUG00000016747	4	8581437	8631046
ENSOCUG00000034653	12	60880997	61011069
ENSOCUG00000014697	14	145559896	145583281
ENSOCUG00000009819	13	70266401	70347671
ENSOCUG00000030705	8	32844196	32847429
ENSOCUG00000033009	7	21811813	21814236
ENSOCUG00000033789	14	46911340	46913451
ENSOCUG00000027221	7	22061083	22061633
ENSOCUG00000017595	15	83966647	84331458
ENSOCUG00000017805	8	9856707	9903267
ENSOCUG00000012591	1	142563838	142569261
ENSOCUG00000000036	12	117180769	117190135
ENSOCUG00000031190	13	42178815	42179126
ENSOCUG00000023956	7	115683285	115685096
ENSOCUG00000036359	4	13269126	13270580
ENSOCUG00000035940	7	115690755	115692852
ENSOCUG00000018272	12	149630220	149630353
ENSOCUG00000034191	1	181940172	182310048
ENSOCUG00000024369	14	46974927	46976324
ENSOCUG00000010994	1	16256829	16269627
ENSOCUG00000038440	1	88634249	88665791
ENSOCUG00000038181	1	98635213	98636307
ENSOCUG00000023823	1	186125753	186125863
ENSOCUG00000035388	12	77505992	77568502
ENSOCUG00000014213	1	190822533	190861573
ENSOCUG00000037246	12	35110279	35122278
ENSOCUG00000019496	12	149633807	149633945
ENSOCUG00000032592	1	88749471	88770244
ENSOCUG00000015793	12	111575168	111597151
ENSOCUG00000023246	9	17399287	17403000
ENSOCUG00000029326	13	129356566	129370185
ENSOCUG00000008779	3	30003005	30079929
ENSOCUG00000039223	7	22249766	22250067
ENSOCUG00000033712	13	134214397	134221105
ENSOCUG00000006880	2	130497648	130565531
ENSOCUG00000002483	14	10208993	10250646
ENSOCUG00000032108	13	12617592	12619869
ENSOCUG00000018632	7	3028374	3028485
ENSOCUG00000003024	1	92630159	92636700
ENSOCUG00000002372	15	103991758	104059678
ENSOCUG00000005528	4	75167385	75193674
ENSOCUG00000035875	14	34231958	34272331
ENSOCUG00000023162	1	189623883	189624821
ENSOCUG00000019690	14	23678884	23678956
ENSOCUG00000005593	1	98652972	98659055
ENSOCUG00000010828	14	47033010	47034131
ENSOCUG00000027804	12	95579420	95724743
ENSOCUG00000022531	12	35149066	35339558
ENSOCUG00000019698	14	34250169	34250303
ENSOCUG00000013276	8	111654339	111791972
ENSOCUG00000039394	12	61176736	61185304
ENSOCUG00000003144	7	13120053	13138345
ENSOCUG00000003553	13	78049272	78099246
ENSOCUG00000036902	13	139870457	139875455
ENSOCUG00000032902	12	61365499	61390547
ENSOCUG00000036180	12	61424786	61440845
ENSOCUG00000023909	13	115249155	115249257
ENSOCUG00000009360	9	17413715	17426165
ENSOCUG00000036309	12	61758968	61803134
ENSOCUG00000014835	14	54804339	54839817
ENSOCUG00000026734	1	18321443	18323390
ENSOCUG00000023811	13	42188651	42189061
ENSOCUG00000026596	13	51277698	51277804
ENSOCUG00000005937	15	67559293	67718099
ENSOCUG00000039438	1	3803790	3805001
ENSOCUG00000035914	13	134274045	134275087
ENSOCUG00000030878	12	77609325	77660391
ENSOCUG00000002692	1	97040966	97347398
ENSOCUG00000037510	13	51334339	51334888
ENSOCUG00000019486	1	123189985	123190105
ENSOCUG00000034092	2	68745389	68774127
ENSOCUG00000029583	12	61866239	61867937
ENSOCUG00000006508	13	99885451	100438274
ENSOCUG00000029016	8	9917235	9952745
ENSOCUG00000005533	7	104665799	104796938
ENSOCUG00000028636	1	186140948	186141065
ENSOCUG00000030130	2	155250637	155258312
ENSOCUG00000030811	12	95579420	95600448
ENSOCUG00000018974	7	3031347	3031448
ENSOCUG00000037752	2	4053071	4054114
ENSOCUG00000038720	15	67733680	67734081
ENSOCUG00000016248	3	10194807	10322081
ENSOCUG00000029908	14	41790345	41798066
ENSOCUG00000036367	14	42029393	42310689
ENSOCUG00000021965	15	67852276	67870449
ENSOCUG00000019223	13	125814878	125814965
ENSOCUG00000013858	12	149635879	149642672
ENSOCUG00000035214	14	42138924	42141572
ENSOCUG00000012916	8	32848402	32862816
ENSOCUG00000019269	13	125818449	125818512
ENSOCUG00000033388	12	70073565	70073690
ENSOCUG00000016758	2	155270469	155419737
ENSOCUG00000033973	1	147675753	147677043
ENSOCUG00000011227	2	137624962	137676288
ENSOCUG00000017819	2	124813790	125043523
ENSOCUG00000032816	12	77820738	77908426
ENSOCUG00000013006	9	11111550	11133956
ENSOCUG00000020976	1	193718930	193724033
ENSOCUG00000032428	7	22369897	22370019
ENSOCUG00000032222	8	10382750	10415875
ENSOCUG00000038036	8	10575155	10579484
ENSOCUG00000005035	14	80112587	80312053
ENSOCUG00000014555	13	24708360	24745202
ENSOCUG00000017098	12	74172760	74184508
ENSOCUG00000017851	1	20067205	20078746
ENSOCUG00000003495	13	119981002	120022139
ENSOCUG00000020368	2	117974694	117974845
ENSOCUG00000017950	3	135558632	135694132
ENSOCUG00000036570	7	13178011	13196611
ENSOCUG00000008243	15	95189032	95197970
ENSOCUG00000031103	3	63471232	63471320
ENSOCUG00000019885	1	123190350	123190481
ENSOCUG00000018615	7	3046447	3046542
ENSOCUG00000005425	13	38813746	38814878
ENSOCUG00000032386	4	13287466	13301225
ENSOCUG00000019307	7	115709575	115709636
ENSOCUG00000034056	1	182520692	182525306
ENSOCUG00000030740	7	3047393	3054385
ENSOCUG00000031073	13	123708660	123745882
ENSOCUG00000029932	1	89803336	89803509
ENSOCUG00000006985	13	32016996	32026446
ENSOCUG00000034590	13	134279656	134282163
ENSOCUG00000038801	1	182732466	182732789
ENSOCUG00000001748	8	10605844	10837499
ENSOCUG00000027047	1	182769193	182769702
ENSOCUG00000037472	14	34284365	34326725
ENSOCUG00000002052	1	186226060	186278029
ENSOCUG00000010803	12	70146966	70171332
ENSOCUG00000035776	14	47062084	47207502
ENSOCUG00000014068	13	125931457	125944256
ENSOCUG00000032880	14	34357828	34383370
ENSOCUG00000001912	9	16103765	16148590
ENSOCUG00000009041	2	4071234	4131452
ENSOCUG00000021285	7	22452455	22454836
ENSOCUG00000035163	13	40929685	40931496
ENSOCUG00000025481	8	26945542	26946282
ENSOCUG00000002157	GL018815	369117	545076
ENSOCUG00000013812	15	67887329	67928368
ENSOCUG00000012891	1	104868697	104892936
ENSOCUG00000017949	13	44887226	44909931
ENSOCUG00000037112	2	118044305	118054861
ENSOCUG00000035091	15	95726954	95744239
ENSOCUG00000027586	14	23833826	23835625
ENSOCUG00000033078	15	6845820	6845975
ENSOCUG00000035880	9	22959205	22959365
ENSOCUG00000016004	2	15899574	15945569
ENSOCUG00000018436	13	123772124	123772313
ENSOCUG00000002413	7	115710776	115712321
ENSOCUG00000002481	1	113615791	113627810
ENSOCUG00000010755	4	26724399	26987567
ENSOCUG00000008851	12	77922342	77923262
ENSOCUG00000022126	3	44689554	44723956
ENSOCUG00000028867	7	3068754	3068831
ENSOCUG00000023076	13	24776202	24794071
ENSOCUG00000007583	13	115411451	115461932
ENSOCUG00000035857	15	56305722	56306783
ENSOCUG00000033515	13	134329033	134354965
ENSOCUG00000020270	12	78188564	78188635
ENSOCUG00000012583	1	142573488	142587462
ENSOCUG00000014398	14	47369477	47370028
ENSOCUG00000009771	2	118061383	118077647
ENSOCUG00000017255	8	10996443	11031490
ENSOCUG00000027636	9	23301508	23301975
ENSOCUG00000034495	12	78346308	78347896
ENSOCUG00000038695	3	18038042	18040143
ENSOCUG00000037802	2	164960854	164980256
ENSOCUG00000033980	9	23423954	23424245
ENSOCUG00000035575	12	79989884	80022310
ENSOCUG00000014114	2	155325562	155330329
ENSOCUG00000033771	12	80218989	80252456
ENSOCUG00000025098	4	8653974	8661756
ENSOCUG00000036661	2	164980454	164980511
ENSOCUG00000028481	8	27001796	27001897
ENSOCUG00000012326	1	144364460	144366635
ENSOCUG00000033695	9	62362834	62363010
ENSOCUG00000027959	14	47820876	47821968
ENSOCUG00000010733	7	27447979	27748244
ENSOCUG00000026204	3	18075517	18078544
ENSOCUG00000024543	13	42189836	42220164
ENSOCUG00000016083	13	72582178	72765425
ENSOCUG00000026609	13	36577126	36579463
ENSOCUG00000033097	3	18190929	18198564
ENSOCUG00000020681	13	123807423	123807525
ENSOCUG00000011944	2	61414553	61539739
ENSOCUG00000008127	7	13255548	13449107
ENSOCUG00000005143	13	40929753	40941511
ENSOCUG00000013974	8	27013339	27014491
ENSOCUG00000039555	1	192759737	192769432
ENSOCUG00000017242	15	7015699	7225843
ENSOCUG00000015320	12	61959516	62086766
ENSOCUG00000013244	9	23498331	23536763
ENSOCUG00000017125	8	27039331	27074375
ENSOCUG00000028762	9	62427073	62427178
ENSOCUG00000014552	13	24810943	24841856
ENSOCUG00000013195	4	8672171	8755775
ENSOCUG00000030049	8	1992963	1995221
ENSOCUG00000010961	14	10251146	10253810
ENSOCUG00000012999	9	11133034	11154297
ENSOCUG00000033357	15	56346729	56348936
ENSOCUG00000037491	9	16151176	16152765
ENSOCUG00000016255	8	27093754	27117970
ENSOCUG00000012358	14	78469747	78595399
ENSOCUG00000028817	9	62515840	62515943
ENSOCUG00000023058	13	33000298	33007056
ENSOCUG00000014119	7	115723341	115730853
ENSOCUG00000028222	1	92709398	92710327
ENSOCUG00000000277	2	68785757	68885735
ENSOCUG00000001931	9	16153819	16157647
ENSOCUG00000022999	1	147685743	147687461
ENSOCUG00000020969	13	41331761	41331936
ENSOCUG00000000672	12	80433016	80622164
ENSOCUG00000006362	3	18227131	18387413
ENSOCUG00000027281	1	92725586	92726896
ENSOCUG00000029302	4	80759236	80760306
ENSOCUG00000029377	3	18328453	18331190
ENSOCUG00000015356	2	40649705	40797153
ENSOCUG00000012544	1	90092444	90665695
ENSOCUG00000000245	13	12622834	12634835
ENSOCUG00000006369	3	18397425	18400570
ENSOCUG00000035344	3	18406392	18412589
ENSOCUG00000022033	13	32076981	32200313
ENSOCUG00000030764	3	18437285	18446271
ENSOCUG00000014643	1	92773207	92807708
ENSOCUG00000031826	2	98063887	98099488
ENSOCUG00000013454	15	95841072	96071839
ENSOCUG00000005924	13	123841400	123906234
ENSOCUG00000036881	1	97473531	97478436
ENSOCUG00000021258	7	121447332	121448812
ENSOCUG00000010962	9	62629904	62855652
ENSOCUG00000004124	8	2018918	2511911
ENSOCUG00000036656	2	118114900	118114962
ENSOCUG00000037798	2	118199677	118200883
ENSOCUG00000031175	7	121453313	121455532
ENSOCUG00000033181	2	165071708	165074287
ENSOCUG00000023497	15	43652610	43652718
ENSOCUG00000023407	9	11158466	11162820
ENSOCUG00000025584	2	118215618	118215763
ENSOCUG00000008917	12	117206494	117216456
ENSOCUG00000006551	1	71387428	71388860
ENSOCUG00000008725	3	114745592	115522198
ENSOCUG00000002085	14	34394879	34432230
ENSOCUG00000017243	8	11037894	11184578
ENSOCUG00000024568	1	182810136	182821755
ENSOCUG00000038678	8	27152782	27166569
ENSOCUG00000035160	15	56852173	56854395
ENSOCUG00000026347	13	72928709	72956096
ENSOCUG00000024863	13	72953808	72954218
ENSOCUG00000014450	2	115394062	115501161
ENSOCUG00000003021	7	121544874	121714211
ENSOCUG00000037174	14	145589790	145592217
ENSOCUG00000025145	13	131184550	131189837
ENSOCUG00000011090	13	41346878	41360274
ENSOCUG00000008184	9	36505913	36528420
ENSOCUG00000034297	8	27213316	27267773
ENSOCUG00000037856	13	134334543	134346537
ENSOCUG00000033054	7	75799731	75800077
ENSOCUG00000015065	12	20369647	20383932
ENSOCUG00000029966	9	16165280	16168860
ENSOCUG00000005726	1	147694780	147696154
ENSOCUG00000013095	12	95791158	95805768
ENSOCUG00000008111	13	112795542	112820377
ENSOCUG00000019175	9	11159238	11159375
ENSOCUG00000013867	12	149644369	149661407
ENSOCUG00000021417	14	42422749	42425181
ENSOCUG00000004928	3	18446613	18553561
ENSOCUG00000012065	4	49653575	49939253
ENSOCUG00000001676	7	3123492	3203096
ENSOCUG00000005207	9	16170926	16189421
ENSOCUG00000000280	13	51431967	51439604
ENSOCUG00000012934	8	32864291	32869787
ENSOCUG00000016257	1	113097790	113452044
ENSOCUG00000023574	3	106509919	106512094
ENSOCUG00000003884	15	43731728	43890804
ENSOCUG00000033487	2	98118256	98120313
ENSOCUG00000030138	4	80770730	80771902
ENSOCUG00000000128	14	145802229	145837908
ENSOCUG00000007056	12	20838693	20886914
ENSOCUG00000012798	13	134336768	134339082
ENSOCUG00000006086	2	155517069	155744571
ENSOCUG00000029729	1	113649225	113650838
ENSOCUG00000029907	7	76123706	76124767
ENSOCUG00000036257	14	47891166	47893823
ENSOCUG00000036703	14	118643341	118644046
ENSOCUG00000033593	1	192778687	192783837
ENSOCUG00000009266	9	11163773	11188484
ENSOCUG00000008070	4	80806499	80819547
ENSOCUG00000006694	12	20396271	20398217
ENSOCUG00000029252	13	73044453	73165234
ENSOCUG00000011085	13	41369972	41392664
ENSOCUG00000037387	2	118273034	118278280
ENSOCUG00000008074	3	44737303	44755320
ENSOCUG00000016078	14	1489749	1511876
ENSOCUG00000022825	12	111635785	111636223
ENSOCUG00000036199	2	165173992	165185470
ENSOCUG00000038538	15	57621100	57621255
ENSOCUG00000033531	4	80831661	80832026
ENSOCUG00000030867	2	118561219	118587060
ENSOCUG00000035467	12	95829028	95838347
ENSOCUG00000029166	3	63586524	63589736
ENSOCUG00000036388	2	165295452	165300475
ENSOCUG00000034876	7	151776553	151778226
ENSOCUG00000037853	7	40997207	40999195
ENSOCUG00000019252	14	84299170	84299231
ENSOCUG00000033483	15	104308183	104312315
ENSOCUG00000016177	1	3846120	3992093
ENSOCUG00000035273	14	84539120	84547732
ENSOCUG00000004113	8	2511081	2523453
ENSOCUG00000030025	15	104346286	104409042
ENSOCUG00000026392	14	42428734	42432203
ENSOCUG00000009587	9	62862635	62920300
ENSOCUG00000034988	7	76126100	76128640
ENSOCUG00000034989	7	76241200	76360001
ENSOCUG00000002240	14	23835940	23879562
ENSOCUG00000006570	3	122078136	122090671
ENSOCUG00000008188	9	36532175	36549053
ENSOCUG00000030840	2	93107801	93109135
ENSOCUG00000038667	3	89599545	89600077
ENSOCUG00000036482	7	41018848	41039018
ENSOCUG00000025226	12	45671510	45793930
ENSOCUG00000010609	8	27235447	27265385
ENSOCUG00000010661	7	141629339	141648432
ENSOCUG00000036267	3	122092664	122235496
ENSOCUG00000006310	13	51443758	51448703
ENSOCUG00000034936	7	76358855	76360072
ENSOCUG00000023761	9	62935810	62949841
ENSOCUG00000036937	2	98128553	98128853
ENSOCUG00000032847	8	11087935	11090160
ENSOCUG00000003001	13	91184768	91579197
ENSOCUG00000033492	8	11350767	11386460
ENSOCUG00000001812	2	118745410	118759567
ENSOCUG00000014432	12	121865029	121987884
ENSOCUG00000000068	1	16286906	16391039
ENSOCUG00000027241	3	35473348	35478074
ENSOCUG00000033784	2	165334621	165338368
ENSOCUG00000016547	1	131065956	131067080
ENSOCUG00000025655	13	24893545	24946698
ENSOCUG00000000906	13	103926263	103935609
ENSOCUG00000020237	3	21782548	21782714
ENSOCUG00000015959	14	84777195	85007113
ENSOCUG00000023959	3	122561948	122563018
ENSOCUG00000038517	13	33007722	33013700
ENSOCUG00000032064	3	21842554	21917971
ENSOCUG00000006944	7	76396193	76421234
ENSOCUG00000032394	3	44843487	44910970
ENSOCUG00000025818	1	189639032	189640012
ENSOCUG00000009229	2	61701357	61797903
ENSOCUG00000002258	7	58838909	58879923
ENSOCUG00000028805	3	45052154	45052257
ENSOCUG00000021685	13	139890848	139891977
ENSOCUG00000016544	1	131086410	131087766
ENSOCUG00000001523	12	74228438	74327641
ENSOCUG00000010245	3	89600597	89665225
ENSOCUG00000028688	2	93119615	93119754
ENSOCUG00000007886	2	165494499	165569525
ENSOCUG00000027123	3	35482393	35482515
ENSOCUG00000011973	13	64174388	64175275
ENSOCUG00000010066	2	100648433	100650024
ENSOCUG00000036053	3	35484997	35486100
ENSOCUG00000028865	13	86640120	86640314
ENSOCUG00000001300	15	58389801	59653895
ENSOCUG00000004468	1	91200436	91210387
ENSOCUG00000013263	9	23537674	23590006
ENSOCUG00000038787	7	41291107	41291732
ENSOCUG00000038574	3	21846937	21848952
ENSOCUG00000010606	8	27274123	27382215
ENSOCUG00000016658	2	112360127	112367936
ENSOCUG00000031930	3	21851693	21859048
ENSOCUG00000003722	3	122698602	122944957
ENSOCUG00000029799	7	151817595	151817689
ENSOCUG00000011289	14	114608221	114819639
ENSOCUG00000036504	13	78114865	78117405
ENSOCUG00000025557	14	42501436	42740193
ENSOCUG00000016946	2	99519011	99519787
ENSOCUG00000038370	3	64011397	64011552
ENSOCUG00000038822	14	84877598	84878519
ENSOCUG00000007956	2	100656000	100660175
ENSOCUG00000002756	13	38821003	38829912
ENSOCUG00000009514	2	93231458	93366323
ENSOCUG00000015582	7	115747210	115749263
ENSOCUG00000024927	7	132722635	132723719
ENSOCUG00000031379	3	45430711	45432261
ENSOCUG00000035226	3	21851997	21867132
ENSOCUG00000006482	13	86728323	86741472
ENSOCUG00000009176	9	62969453	63064265
ENSOCUG00000030054	3	45563681	45571295
ENSOCUG00000025802	7	41306671	41306773
ENSOCUG00000023091	12	111763373	111858862
ENSOCUG00000023403	3	64099440	64100986
ENSOCUG00000013805	15	67927992	67932000
ENSOCUG00000012317	1	144368184	144456392
ENSOCUG00000031592	3	45638121	45740156
ENSOCUG00000017682	13	139896674	139906501
ENSOCUG00000015242	13	40949451	40998052
ENSOCUG00000032345	3	46225529	46225636
ENSOCUG00000032004	2	44067531	44096747
ENSOCUG00000037956	14	118670420	118706047
ENSOCUG00000037603	12	117258372	117260555
ENSOCUG00000033422	12	117313985	117315479
ENSOCUG00000027246	1	147715223	147730715
ENSOCUG00000009384	2	99543014	99558388
ENSOCUG00000011928	13	33032554	33060611
ENSOCUG00000031515	2	119169874	119174056
ENSOCUG00000037420	2	119503533	119542205
ENSOCUG00000034334	1	182975925	182999864
ENSOCUG00000007441	1	102515174	102586011
ENSOCUG00000031341	2	119506700	119509659
ENSOCUG00000006380	3	18454311	18461545
ENSOCUG00000011333	1	113650782	113651306
ENSOCUG00000020812	2	166311082	166311153
ENSOCUG00000028359	14	1509998	1510116
ENSOCUG00000035234	2	119599048	119602509
ENSOCUG00000031549	14	85026345	85073106
ENSOCUG00000005168	12	1278867	1334982
ENSOCUG00000010813	12	70173355	70176478
ENSOCUG00000013237	7	22579164	22644974
ENSOCUG00000002887	9	36597752	36802907
ENSOCUG00000033497	12	117327746	117342802
ENSOCUG00000003403	13	42211828	42220646
ENSOCUG00000028931	12	35278213	35278317
ENSOCUG00000011091	3	35614687	35865927
ENSOCUG00000017638	2	52616378	52780104
ENSOCUG00000016089	14	1512677	1523354
ENSOCUG00000015346	13	125980856	125981098
ENSOCUG00000006698	12	20399449	20402001
ENSOCUG00000004217	1	13210093	13297337
ENSOCUG00000001179	14	48365906	48495381
ENSOCUG00000030481	14	129699477	129742051
ENSOCUG00000000779	3	123300287	123480964
ENSOCUG00000004656	2	111987794	111990135
ENSOCUG00000023971	1	74819389	74819721
ENSOCUG00000009465	13	64230945	64317706
ENSOCUG00000035166	1	189646652	189647590
ENSOCUG00000037816	3	18602238	18611409
ENSOCUG00000004521	15	104561983	104614099
ENSOCUG00000016640	2	112409890	112513403
ENSOCUG00000008821	13	112828733	112940977
ENSOCUG00000002752	13	38831297	38832049
ENSOCUG00000008790	7	41318707	41376441
ENSOCUG00000016534	1	131095165	131104851
ENSOCUG00000032655	3	89692937	89722499
ENSOCUG00000024763	9	16190427	16191371
ENSOCUG00000010814	12	70187418	70491804
ENSOCUG00000029769	1	74972148	74973245
ENSOCUG00000021317	7	152000102	152000656
ENSOCUG00000035929	1	75034035	75037744
ENSOCUG00000030737	13	125985748	125996320
ENSOCUG00000036627	15	7777570	7777776
ENSOCUG00000008050	3	123552474	123650945
ENSOCUG00000027767	2	166522202	166530390
ENSOCUG00000015461	1	26660998	26728500
ENSOCUG00000002748	13	38834852	38847438
ENSOCUG00000016430	12	95916796	96008525
ENSOCUG00000002599	7	132829109	132830501
ENSOCUG00000033741	15	7907501	7965887
ENSOCUG00000009933	14	107066378	107075102
ENSOCUG00000037003	14	97050490	97050595
ENSOCUG00000031173	9	11217886	11229734
ENSOCUG00000030280	3	106544508	106582309
ENSOCUG00000027213	13	51451385	51457423
ENSOCUG00000022458	14	97075065	97075171
ENSOCUG00000014719	13	139912769	139935319
ENSOCUG00000024238	15	8088738	8094786
ENSOCUG00000004937	3	18633476	18660832
ENSOCUG00000029292	2	98129481	98247972
ENSOCUG00000012337	12	45977386	46101862
ENSOCUG00000010101	7	15646175	15652647
ENSOCUG00000020895	14	129964371	130009421
ENSOCUG00000000008	1	17822405	17838288
ENSOCUG00000014109	2	44152338	44202114
ENSOCUG00000038691	13	129373633	129376775
ENSOCUG00000005755	9	63063488	63224377
ENSOCUG00000015469	15	8106984	8138940
ENSOCUG00000000018	3	83213742	83214661
ENSOCUG00000007060	13	37616431	37631449
ENSOCUG00000031668	12	117414452	117475608
ENSOCUG00000038853	12	20884573	20889019
ENSOCUG00000015351	2	40809918	40847756
ENSOCUG00000020211	15	58675394	58675488
ENSOCUG00000000247	13	12642478	12680319
ENSOCUG00000023179	15	59336733	59337599
ENSOCUG00000001853	14	97075982	97116405
ENSOCUG00000018131	15	59591093	59591256
ENSOCUG00000039365	2	93399855	93400880
ENSOCUG00000001842	2	119604584	119742385
ENSOCUG00000022003	2	76713314	76716065
ENSOCUG00000017952	3	135696165	135715015
ENSOCUG00000005829	7	164083316	164180907
ENSOCUG00000006703	12	20405445	20407151
ENSOCUG00000027606	14	145929743	145930898
ENSOCUG00000028670	2	76753250	76753347
ENSOCUG00000010359	1	98666086	98672529
ENSOCUG00000012914	7	121573413	121575448
ENSOCUG00000034701	15	59864466	59894789
ENSOCUG00000036449	15	84357429	84357504
ENSOCUG00000030642	3	18672243	18672554
ENSOCUG00000033211	13	126014648	126032143
ENSOCUG00000012928	12	35347263	35394251
ENSOCUG00000037637	2	76811285	76813589
ENSOCUG00000001398	1	173444672	173624763
ENSOCUG00000033670	15	59891992	59927746
ENSOCUG00000019118	1	104894060	104894114
ENSOCUG00000022049	9	16192679	16218750
ENSOCUG00000027337	3	123553510	123553923
ENSOCUG00000010721	13	36046483	36059129
ENSOCUG00000039284	2	155791977	155812762
ENSOCUG00000034505	7	134151500	134160222
ENSOCUG00000036476	7	152285631	152339196
ENSOCUG00000023192	9	11266020	11266092
ENSOCUG00000028284	7	141632881	141633011
ENSOCUG00000037516	13	73300336	73315528
ENSOCUG00000036958	9	97674041	97678844
ENSOCUG00000005532	12	33072107	33075204
ENSOCUG00000037705	9	97675833	97692989
ENSOCUG00000028934	13	3109399	3109539
ENSOCUG00000035459	12	147526132	147555544
ENSOCUG00000035162	9	11273250	11273802
ENSOCUG00000035028	12	147527024	147528058
ENSOCUG00000035720	9	97699326	97702360
ENSOCUG00000003275	13	41398209	41423220
ENSOCUG00000009329	14	10293402	10326792
ENSOCUG00000000007	1	17823272	17849792
ENSOCUG00000028149	1	189664692	189665642
ENSOCUG00000034826	2	4318523	4321093
ENSOCUG00000002745	13	38849732	38850568
ENSOCUG00000022890	7	135377515	135379621
ENSOCUG00000037542	2	166530411	166546646
ENSOCUG00000006627	2	61904040	61924330
ENSOCUG00000038261	2	4376705	4379069
ENSOCUG00000023089	12	20902842	20912509
ENSOCUG00000019728	7	76438879	76439003
ENSOCUG00000011662	9	97918737	97925695
ENSOCUG00000036391	13	73326454	73328571
ENSOCUG00000016105	14	1533976	1596469
ENSOCUG00000008760	7	115826421	115904079
ENSOCUG00000004943	3	18692602	18823976
ENSOCUG00000010984	12	22309189	22502541
ENSOCUG00000017093	2	76816569	76908344
ENSOCUG00000003383	2	93441301	93549023
ENSOCUG00000035676	14	145968075	145971941
ENSOCUG00000016073	12	96058599	96090626
ENSOCUG00000025318	13	131199620	131204624
ENSOCUG00000035217	14	146065971	146242409
ENSOCUG00000019390	13	3180192	3180323
ENSOCUG00000006098	15	60020064	60087484
ENSOCUG00000026297	7	76530824	76532112
ENSOCUG00000003548	13	78127115	78148514
ENSOCUG00000032987	2	40917006	40944355
ENSOCUG00000037693	14	146317307	146325208
ENSOCUG00000036105	7	97587330	97606638
ENSOCUG00000016550	3	65066252	65426382
ENSOCUG00000021740	2	40953608	40953714
ENSOCUG00000013513	2	155821894	155897974
ENSOCUG00000037269	13	131210502	131211790
ENSOCUG00000039035	2	40970026	40986445
ENSOCUG00000008531	1	75124137	75160846
ENSOCUG00000005196	1	97493752	97653118
ENSOCUG00000038530	3	21934544	21935825
ENSOCUG00000036832	13	78632956	78635112
ENSOCUG00000029678	1	123190358	123248675
ENSOCUG00000010667	7	141651745	141672646
ENSOCUG00000024736	12	147578108	147612641
ENSOCUG00000035373	13	104039576	104039806
ENSOCUG00000012056	14	146350540	146365051
ENSOCUG00000014175	9	11281951	11429496
ENSOCUG00000008620	7	97686474	97707649
ENSOCUG00000002461	3	123832704	124041542
ENSOCUG00000008783	2	173130855	173159445
ENSOCUG00000005209	13	73355747	73467853
ENSOCUG00000025264	2	41013035	41062188
ENSOCUG00000026563	3	21950621	21983165
ENSOCUG00000022437	7	135378356	135378877
ENSOCUG00000027498	1	104894553	104921531
ENSOCUG00000018969	7	76629439	76629592
ENSOCUG00000018290	1	18350950	18351056
ENSOCUG00000000723	3	106597395	106667238
ENSOCUG00000039439	13	112856033	112856246
ENSOCUG00000021525	9	97985180	98027381
ENSOCUG00000022394	3	77609613	77609716
ENSOCUG00000024950	1	189679647	189713457
ENSOCUG00000037011	9	98028981	98040127
ENSOCUG00000003431	12	1470777	1647319
ENSOCUG00000009623	12	134595377	134678738
ENSOCUG00000014558	15	85148645	85218753
ENSOCUG00000024378	13	86746247	86771689
ENSOCUG00000008826	13	112874983	112888996
ENSOCUG00000025059	7	76638257	76638516
ENSOCUG00000008803	3	30091605	30094619
ENSOCUG00000009797	13	70391409	70529555
ENSOCUG00000027215	15	43791018	43791144
ENSOCUG00000014570	1	4016850	4029865
ENSOCUG00000028110	3	77615841	77616862
ENSOCUG00000035463	3	77630363	77632508
ENSOCUG00000029636	2	115617959	115717945
ENSOCUG00000008647	13	38909062	38909791
ENSOCUG00000005537	12	33079254	33096096
ENSOCUG00000032448	3	77653073	77718022
